***
"wind turbine control" AND "load reduction"
***

In 1995, there are 3 results.
In 1996, there are 2 results.
In 1997, there are 0 results (text was: '')
In 1998, there are 0 results (text was: '1 result (0,06 sec)')
In 1999, there are 0 results (text was: '')
In 2000, there are 7 results.
In 2001, there are 0 results (text was: '1 result (0,12 sec)')
In 2002, there are 2 results.
In 2003, there are 8 results.
In 2004, there are 13 results.
In 2005, there are 8 results.
In 2006, there are 18 results.
In 2007, there are 25 results.
In 2008, there are 18 results.
In 2009, there are 41 results.
In 2010, there are 52 results.
In 2011, there are 103 results.
In 2012, there are 96 results.
In 2013, there are 111 results.
In 2014, there are 136 results.
In 2015, there are 118 results.
In 2016, there are 141 results.
In 2017, there are 134 results.
In 2018, there are 145 results.
In 2019, there are 106 results.
In 2020, there are 123 results.
In 2021, there are 113 results.
In 2022, there are 151 results.
In 2023, there are 121 results.
In 2024, there are 143 results.
In 2025, there are 127 results.
